DeclaredCounty/Area,State,DistinctDisasterNumbers,Latitude (generated),Longitude (generated)
Uinta,Wyoming,1,41.3156,-110.5477
Sweetwater,Wyoming,1,41.6405,-108.9887
Sublette,Wyoming,1,42.8671,-109.9565
Lincoln,Wyoming,1,42.4553,-110.8185
Wood,Wisconsin,1,44.4689,-90.0212
Winnebago,Wisconsin,1,44.0677,-88.6452
Waushara,Wisconsin,1,44.1173,-89.2418
Waupaca,Wisconsin,1,44.4525,-88.9801
Waukesha,Wisconsin,1,43.0181,-88.3044
Washington,Wisconsin,1,43.3686,-88.2293
Washburn,Wisconsin,1,45.9017,-91.7871
Walworth,Wisconsin,1,42.6678,-88.5413
Vilas,Wisconsin,1,46.0789,-89.4371
Vernon,Wisconsin,1,43.5769,-90.7714
Trempealeau,Wisconsin,1,44.2856,-91.3478
Taylor,Wisconsin,1,45.2065,-90.4856
St. Croix,Wisconsin,1,45.0351,-92.4543
Shawano,Wisconsin,1,44.8071,-88.7375
Sawyer,Wisconsin,1,45.902,-91.1097
Sauk,Wisconsin,1,43.3945,-89.8965
Rusk,Wisconsin,1,45.4691,-91.1092
Rock,Wisconsin,1,42.6692,-89.072
Richland,Wisconsin,1,43.3664,-90.4289
Price,Wisconsin,1,45.6691,-90.3605
Portage,Wisconsin,1,44.4745,-89.475
Polk,Wisconsin,1,45.4696,-92.4193
Pierce,Wisconsin,1,44.7034,-92.4259
Pepin,Wisconsin,1,44.5458,-92.0873
Outagamie,Wisconsin,1,44.419,-88.4637
Oneida,Wisconsin,1,45.6879,-89.5447
Oconto,Wisconsin,1,45.0268,-88.3037
Monroe,Wisconsin,1,43.9434,-90.6118
Menominee,Wisconsin,1,44.9899,-88.7347
Marquette,Wisconsin,1,43.8129,-89.3981
Marinette,Wisconsin,1,45.382,-88.1503
Marathon,Wisconsin,1,44.8951,-89.7693
Lincoln,Wisconsin,1,45.3385,-89.7354
Langlade,Wisconsin,1,45.2517,-89.0523
Lafayette,Wisconsin,1,42.6602,-90.1317
La Crosse,Wisconsin,1,43.9075,-91.1276
Kewaunee,Wisconsin,1,44.5033,-87.6245
Juneau,Wisconsin,1,43.9467,-90.1322
Jefferson,Wisconsin,1,43.0217,-88.7768
Jackson,Wisconsin,1,44.3311,-90.7417
Iron,Wisconsin,1,46.287,-90.2401
Iowa,Wisconsin,1,43.0094,-90.1334
Green Lake,Wisconsin,1,43.8078,-89.0268
Green,Wisconsin,1,42.6775,-89.6024
Grant,Wisconsin,1,42.8621,-90.7628
Forest,Wisconsin,1,45.729,-88.8616
Fond du Lac,Wisconsin,1,43.7377,-88.5229
Florence,Wisconsin,1,45.8674,-88.3756
Eau Claire,Wisconsin,1,44.7306,-91.286
Dunn,Wisconsin,1,44.9461,-91.8932
Douglas,Wisconsin,1,46.4537,-91.9223
Door,Wisconsin,1,44.9881,-87.267
Dodge,Wisconsin,1,43.413,-88.7032
Dane,Wisconsin,1,43.073,-89.4247
Crawford,Wisconsin,1,43.2104,-90.8849
Columbia,Wisconsin,1,43.4614,-89.3035
Clark,Wisconsin,1,44.7321,-90.6192
Chippewa,Wisconsin,1,45.0767,-91.2876
Calumet,Wisconsin,1,44.0612,-88.2235
Burnett,Wisconsin,1,45.8994,-92.363
Buffalo,Wisconsin,1,44.3147,-91.722
Brown,Wisconsin,1,44.4646,-87.9779
Bayfield,Wisconsin,1,46.5601,-91.2402
Barron,Wisconsin,1,45.4265,-91.8486
Ashland,Wisconsin,1,46.3491,-90.7366
Adams,Wisconsin,1,43.9464,-89.7748
Wyoming,West Virginia,1,37.6036,-81.5699
Summers,West Virginia,2,37.6488,-80.8773
Raleigh,West Virginia,1,37.7493,-81.1743
Pocahontas,West Virginia,1,38.3891,-79.9839
Pendleton,West Virginia,2,38.6854,-79.3411
Monroe,West Virginia,2,37.5557,-80.5468
Mineral,West Virginia,2,39.4433,-78.8643
Mercer,West Virginia,1,37.4167,-81.0766
Hardy,West Virginia,2,38.9993,-78.8269
Hampshire,West Virginia,2,39.3147,-78.6304
Greenbrier,West Virginia,2,37.976,-80.4033
Grant,West Virginia,2,39.0712,-79.1885
Fayette,West Virginia,1,38.0418,-81.0963
Yakima,Washington,1,46.5669,-120.6488
Whitman,Washington,1,46.8409,-117.522
Stevens,Washington,1,48.3997,-117.8489
Spokane,Washington,1,47.6423,-117.4305
Pend Oreille,Washington,1,48.5392,-117.2681
Lincoln,Washington,1,47.6123,-118.3998
Klickitat,Washington,1,45.8257,-120.7766
Kittitas,Washington,1,47.1679,-120.6629
Grant,Washington,1,47.284,-119.492
Franklin,Washington,1,46.4669,-118.9422
Ferry,Washington,1,48.4175,-118.5235
Douglas,Washington,1,47.6869,-119.7491
Chelan,Washington,1,47.9098,-120.5391
Benton,Washington,1,46.2826,-119.5709
Asotin,Washington,1,46.2299,-117.1874
Adams,Washington,1,46.9968,-118.4708
Wythe,Virginia,1,36.9145,-81.0571
Washington,Virginia,1,36.7615,-81.9556
Warren,Virginia,1,38.8968,-78.1977
Tazewell,Virginia,1,37.1358,-81.6058
Sussex,Virginia,1,36.9125,-77.2851
Stafford,Virginia,1,38.4174,-77.4766
Spotsylvania,Virginia,1,38.1861,-77.6566
Smyth,Virginia,1,36.823,-81.5102
Shenandoah,Virginia,2,38.8538,-78.5869
Russell,Virginia,1,36.9262,-82.0747
Rockingham,Virginia,2,38.5292,-78.9401
