DeclaredCounty/Area,State,DistinctDisasterNumbers,Latitude (generated),Longitude (generated)
Weston,Wyoming,2,43.8403,-104.5684
Teton,Wyoming,1,43.9385,-110.5501
Sheridan,Wyoming,2,44.7798,-106.9037
Platte,Wyoming,1,42.1314,-104.9676
Natrona,Wyoming,2,42.9727,-106.7878
Lincoln,Wyoming,1,42.4553,-110.8185
Crook,Wyoming,2,44.5882,-104.5708
Converse,Wyoming,2,42.8966,-105.4856
Albany,Wyoming,4,41.723,-105.6758
Wyoming,West Virginia,1,37.6036,-81.5699
Webster,West Virginia,1,38.4686,-80.4353
Wayne,West Virginia,1,38.1326,-82.4393
Upshur,West Virginia,1,38.8996,-80.2329
Randolph,West Virginia,1,38.7548,-79.8266
Raleigh,West Virginia,1,37.7493,-81.1743
Nicholas,West Virginia,1,38.3154,-80.8243
Monongalia,West Virginia,1,39.5788,-79.9721
Mingo,West Virginia,1,37.7434,-82.2155
Mercer,West Virginia,1,37.4167,-81.0766
McDowell,West Virginia,1,37.3753,-81.6356
Logan,West Virginia,1,37.8334,-81.9426
Lincoln,West Virginia,1,38.1606,-82.0837
Kanawha,West Virginia,1,38.2982,-81.5239
Hardy,West Virginia,1,38.9993,-78.8269
Grant,West Virginia,1,39.0712,-79.1885
Gilmer,West Virginia,1,38.9138,-80.8124
Clay,West Virginia,2,38.4672,-81.0583
Cabell,West Virginia,2,38.413,-82.2762
Braxton,West Virginia,1,38.7116,-80.7316
Boone,West Virginia,1,37.9975,-81.7141
Barbour,West Virginia,1,39.1254,-80.0274
Yakima,Washington,8,46.5669,-120.6488
Yakama Reservation,Washington,1,,
Whitman,Washington,1,46.8409,-117.522
Whatcom,Washington,1,48.8219,-121.7266
Walla Walla,Washington,1,46.3041,-118.5042
Stevens,Washington,5,48.3997,-117.8489
Spokane Indian Reservation,Washington,1,,
Spokane,Washington,3,47.6423,-117.4305
Skamania,Washington,2,45.9743,-121.9292
Pend Oreille,Washington,3,48.5392,-117.2681
Okanogan,Washington,13,48.4732,-119.7409
Lincoln,Washington,2,47.6123,-118.3998
Klickitat,Washington,4,45.8257,-120.7766
Kittitas,Washington,2,47.1679,-120.6629
Kalispel Indian Reservation,Washington,1,,
Garfield,Washington,1,46.3542,-117.5476
Ferry,Washington,4,48.4175,-118.5235
Douglas,Washington,3,47.6869,-119.7491
Colville Indian Reservation,Washington,4,,
Columbia,Washington,2,46.3041,-117.9269
Chelan,Washington,13,47.9098,-120.5391
Benton,Washington,2,46.2826,-119.5709
Asotin,Washington,1,46.2299,-117.1874
Warren,Virginia,1,38.8968,-78.1977
Shenandoah,Virginia,1,38.8538,-78.5869
Scott,Virginia,1,36.7396,-82.5828
Rockingham,Virginia,1,38.5292,-78.9401
Patrick,Virginia,1,36.7075,-80.274
Page,Virginia,1,38.6265,-78.4806
Nelson,Virginia,1,37.7921,-78.9043
Dickenson,Virginia,1,37.1314,-82.361
Buchanan,Virginia,1,37.2884,-82.0618
Arlington,Virginia,1,38.8811,-77.1079
Albemarle,Virginia,1,38.0006,-78.5618
Weber,Utah,1,41.2554,-111.8947
Washington,Utah,3,37.3071,-113.4764
Utah,Utah,2,40.1782,-111.691
Uintah and Ouray Indian Reservation,Utah,1,,
Uintah,Utah,1,40.1698,-109.5135
Sanpete,Utah,1,39.4342,-111.5243
Salt Lake,Utah,2,40.6684,-111.9031
Millard,Utah,2,39.0955,-113.0316
Kane,Utah,1,37.2729,-111.8853
Juab,Utah,1,39.6657,-112.8826
Duchesne,Utah,1,40.3319,-110.4366
Daggett,Utah,1,40.8298,-109.6975
Zavala,Texas,2,28.8648,-99.7623
Zapata,Texas,3,26.9454,-99.1717
Young,Texas,7,33.1668,-98.6883
Yoakum,Texas,3,33.1614,-102.828
Wood,Texas,4,32.7755,-95.3972
Wise,Texas,6,33.2115,-97.6555
Winkler,Texas,4,31.8614,-103.0627
Wilson,Texas,3,29.1652,-98.0851
Williamson,Texas,8,30.6541,-97.6352
Willacy,Texas,2,26.4556,-97.7389
Wilbarger,Texas,5,34.1523,-99.2142
Wichita,Texas,8,33.9973,-98.6882
Wheeler,Texas,5,35.4067,-100.2697
Wharton,Texas,2,29.299,-96.221
Webb,Texas,3,27.7332,-99.288
Washington,Texas,3,30.2215,-96.4299
Ward,Texas,3,31.4598,-103.1287
Waller,Texas,6,29.9884,-95.9999
Walker,Texas,7,30.795,-95.5934
Victoria,Texas,2,28.7954,-96.9415
Van Zandt,Texas,3,32.6033,-95.8351
Val Verde,Texas,4,29.7645,-101.0491
Uvalde,Texas,3,29.3551,-99.7622
Upton,Texas,4,31.369,-102.0443
Upshur,Texas,5,32.7068,-94.9274
Tyler,Texas,7,30.7932,-94.3877
Trinity,Texas,4,31.1046,-95.1246
Travis,Texas,11,30.3252,-97.7773
Tom Green,Texas,6,31.3893,-100.4023
Titus,Texas,4,33.19,-94.9689
Throckmorton,Texas,4,33.1541,-99.2122
Terry,Texas,4,33.1754,-102.3353
Terrell,Texas,4,30.2125,-102.1628
Taylor,Texas,6,32.3045,-99.8901
Tarrant,Texas,5,32.7708,-97.2917
Swisher,Texas,4,34.535,-101.7351
Sutton,Texas,5,30.4919,-100.5386
Stonewall,Texas,6,33.1802,-100.2535
Sterling,Texas,4,31.8222,-101.0451
Stephens,Texas,10,32.7377,-98.836
Starr,Texas,2,26.5105,-98.7859
Somervell,Texas,5,32.2014,-97.7856
Smith,Texas,6,32.4125,-95.2456
Sherman,Texas,3,36.2705,-101.8934
Shelby,Texas,4,31.7749,-94.127
Shackelford,Texas,5,32.7367,-99.354
Scurry,Texas,5,32.7541,-100.9166
Schleicher,Texas,3,30.9013,-100.539
San Saba,Texas,7,31.2064,-98.8303
